Date,HomeTeam,AwayTeam,FTR,season,home_odds,draw_odds,away_odds,goals_scored,goals_conceded,ELO,matchDay,avg_goals_scored,avg_goals_conceded,points,avg_points_game,elo_change_trend,goals_scored_trend,goals_conceded_trend,goals_scored_away,goals_conceded_away,ELO_away,matchDay_away,avg_goals_scored_away,avg_goals_conceded_away,points_away,avg_points_game_away,elo_change_trend_away,goals_scored_trend_away,goals_conceded_trend_away
2015-08-08,Bournemouth,Aston Villa,A,2016,2.0,3.5,4.0,0,1,986.56,1,0.0,1.0,0,0.0,,,,1,0,1013.44,1,1.0,0.0,3,3.0,,,
2015-08-08,Chelsea,Swansea,D,2016,1.39,4.92,10.0,2,2,997.2,1,2.0,2.0,1,1.0,,,,2,2,1002.8,1,2.0,2.0,1,1.0,,,
2015-08-08,Everton,Watford,D,2016,1.7,3.76,5.4,2,2,997.2,1,2.0,2.0,1,1.0,,,,2,2,1002.8,1,2.0,2.0,1,1.0,,,
2015-08-08,Leicester,Sunderland,H,2016,2.0,3.4,4.33,4,2,1008.64,1,4.0,2.0,3,3.0,,,,2,4,991.36,1,2.0,4.0,0,0.0,,,
2015-08-08,Man United,Tottenham,H,2016,1.65,4.0,5.9,1,0,1007.56,1,1.0,0.0,3,3.0,,,,0,1,992.44,1,0.0,1.0,0,0.0,,,
2015-08-08,Norwich,Crystal Palace,A,2016,2.55,3.25,3.0,1,3,984.64,1,1.0,3.0,0,0.0,,,,3,1,1015.36,1,3.0,1.0,3,3.0,,,
2015-08-09,Arsenal,West Ham,A,2016,1.3,5.75,12.0,0,2,984.64,1,0.0,2.0,0,0.0,,,,2,0,1015.36,1,2.0,0.0,3,3.0,,,
2015-08-09,Newcastle,Southampton,D,2016,2.88,3.28,2.7,2,2,997.2,1,2.0,2.0,1,1.0,,,,2,2,1002.8,1,2.0,2.0,1,1.0,,,
2015-08-09,Stoke,Liverpool,A,2016,3.4,3.4,2.3,0,1,986.56,1,0.0,1.0,0,0.0,,,,1,0,1013.44,1,1.0,0.0,3,3.0,,,
2015-08-10,West Brom,Man City,A,2016,5.5,4.0,1.67,0,3,981.44,1,0.0,3.0,0,0.0,,,,3,0,1018.56,1,3.0,0.0,3,3.0,,,
2015-08-14,Aston Villa,Man United,A,2016,5.5,3.76,1.75,1,1,999.81,2,0.5,0.5,3,1.5,,,,2,0,1021.19,2,1.0,0.0,6,3.0,,,
2015-08-15,Southampton,Everton,A,2016,2.0,3.5,4.1,2,5,984.02,2,1.0,2.5,1,0.5,,,,5,2,1015.98,2,2.5,1.0,4,2.0,,,
2015-08-15,Sunderland,Norwich,A,2016,2.5,3.3,3.08,3,7,975.82,2,1.5,3.5,0,0.0,,,,4,4,1000.18,2,2.0,2.0,3,1.5,,,
2015-08-15,Swansea,Newcastle,H,2016,1.95,3.6,4.33,4,2,1011.26,2,2.0,1.0,4,2.0,,,,2,4,988.74,2,1.0,2.0,1,0.5,,,
2015-08-15,Tottenham,Stoke,D,2016,1.8,3.7,5.0,2,3,989.51,2,1.0,1.5,1,0.5,,,,2,3,989.49,2,1.0,1.5,1,0.5,,,
2015-08-15,Watford,West Brom,D,2016,2.3,3.3,3.4,2,2,999.46,2,1.0,1.0,2,1.0,,,,0,3,984.78,2,0.0,1.5,1,0.5,,,
2015-08-15,West Ham,Leicester,A,2016,2.25,3.5,3.4,3,2,1001.7,2,1.5,1.0,3,1.5,,,,6,3,1022.3,2,3.0,1.5,6,3.0,,,
2015-08-16,Crystal Palace,Arsenal,A,2016,5.2,3.8,1.73,4,3,1001.09,2,2.0,1.5,3,1.5,,,,2,3,998.91,2,1.0,1.5,3,1.5,,,
2015-08-16,Man City,Chelsea,H,2016,2.1,3.5,3.75,6,0,1028.16,2,3.0,0.0,6,3.0,,,,2,5,987.6,2,1.0,2.5,1,0.5,,,
2015-08-17,Liverpool,Bournemouth,H,2016,1.45,4.74,7.3,2,0,1020.27,2,1.0,0.0,6,3.0,,,,0,2,979.73,2,0.0,1.0,0,0.0,,,
2015-08-22,Crystal Palace,Aston Villa,H,2016,1.85,3.6,4.75,6,4,1008.61,3,2.0,1.333,6,2.0,,,,2,3,992.29,3,0.667,1.0,3,1.0,,,
2015-08-22,Leicester,Tottenham,D,2016,2.65,3.5,2.7,7,4,1018.64,3,2.333,1.333,7,2.333,,,,3,4,993.17,3,1.0,1.333,2,0.667,,,
2015-08-22,Man United,Newcastle,D,2016,1.36,5.0,9.62,2,0,1017.54,3,0.667,0.0,7,2.333,,,,2,4,992.39,3,0.667,1.333,2,0.667,,,
2015-08-22,Norwich,Stoke,D,2016,2.34,3.3,3.37,5,5,997.11,3,1.667,1.667,4,1.333,,,,3,4,992.56,3,1.0,1.333,2,0.667,,,
2015-08-22,Sunderland,Swansea,D,2016,3.79,3.3,2.1,4,8,974.0,3,1.333,2.667,1,0.333,,,,5,3,1013.08,3,1.667,1.0,5,1.667,,,
2015-08-22,West Ham,Bournemouth,A,2016,2.38,3.4,3.15,6,6,987.68,3,2.0,2.0,3,1.0,,,,4,5,993.75,3,1.333,1.667,3,1.0,,,
2015-08-23,Everton,Man City,A,2016,5.0,4.0,1.73,5,4,1000.94,3,1.667,1.333,4,1.333,,,,8,0,1043.2,3,2.667,0.0,9,3.0,,,
2015-08-23,Watford,Southampton,D,2016,2.76,3.3,2.75,2,2,996.28,3,0.667,0.667,3,1.0,,,,2,5,987.2,3,0.667,1.667,2,0.667,,,
2015-08-23,West Brom,Chelsea,A,2016,6.25,3.9,1.65,2,6,971.46,3,0.667,2.0,1,0.333,,,,5,7,1000.92,3,1.667,2.333,4,1.333,,,
2015-08-24,Arsenal,Liverpool,D,2016,1.75,4.0,5.0,2,3,996.66,3,0.667,1.0,4,1.333,,,,2,0,1022.52,3,0.667,0.0,7,2.333,,,
2015-08-29,Aston Villa,Sunderland,D,2016,1.91,3.45,4.5,4,5,989.05,4,1.0,1.25,4,1.0,,,,6,10,977.24,4,1.5,2.5,2,0.5,,,
2015-08-29,Bournemouth,Leicester,D,2016,2.2,3.5,3.4,5,6,991.6,4,1.25,1.5,4,1.0,,,,8,5,1020.79,4,2.0,1.25,8,2.0,,,
2015-08-29,Chelsea,Crystal Palace,A,2016,1.36,5.0,10.17,6,9,987.68,4,1.5,2.25,4,1.0,,,,8,5,1021.85,4,2.0,1.25,9,2.25,,,
2015-08-29,Liverpool,West Ham,A,2016,1.36,5.28,9.5,2,3,1002.64,4,0.5,0.75,7,1.75,,,,9,6,1007.56,4,2.25,1.5,6,1.5,,,
2015-08-29,Man City,Watford,H,2016,1.2,7.05,15.0,10,0,1050.35,4,2.5,0.0,12,3.0,,,,2,4,989.13,4,0.5,1.0,3,0.75,,,
2015-08-29,Newcastle,Arsenal,A,2016,6.0,4.2,1.61,2,5,979.08,4,0.5,1.25,2,0.5,,,,3,3,1009.97,4,0.75,0.75,7,1.75,,,
2015-08-29,Stoke,West Brom,A,2016,1.95,3.3,4.2,3,5,978.59,4,0.75,1.25,2,0.5,,,,3,6,985.43,4,0.75,1.5,4,1.0,,,
2015-08-29,Tottenham,Everton,D,2016,2.0,3.5,4.0,3,4,990.58,4,0.75,1.0,3,0.75,,,,5,4,1003.53,4,1.25,1.0,5,1.25,,,
2015-08-30,Southampton,Norwich,H,2016,2.05,3.45,3.95,5,5,998.05,4,1.25,1.25,5,1.25,,,,5,8,986.26,4,1.25,2.0,4,1.0,,,
2015-08-30,Swansea,Man United,H,2016,3.55,3.3,2.23,7,4,1020.72,4,1.75,1.0,8,2.0,,,,3,2,1009.9,4,0.75,0.5,7,1.75,,,
